episode,type,ground,size,armor,value,xmove,ymove,xaccel,yaccel,xcaccel,ycaccel,xrev,yrev,animate,shapebank,egraphic0,launchtype,enemydie,tur0
1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,254,2250,0,0,0,0,0,0,0,0,2,2,1,2,0,127
1,2,1,1,10,25,0,5,0,0,0,0,0,0,0,10,169,0,0,252
1,3,1,0,2,5,0,0,92,0,0,8,0,0,1,1,171,0,0,0
1,4,1,1,4,25,0,1,0,0,0,0,0,0,1,1,159,0,0,0
1,5,1,1,6,20,0,0,0,0,0,0,0,0,1,1,229,0,0,0
1,6,1,1,6,25,0,0,0,0,0,0,0,0,0,1,85,0,0,0
1,7,1,1,6,25,0,0,0,0,0,0,0,0,0,1,87,0,0,0
1,8,1,1,6,25,0,0,0,0,0,0,0,0,0,1,123,0,0,0
1,9,1,1,6,25,0,0,0,0,0,0,0,0,0,1,125,0,0,0
1,10,1,1,3,15,0,1,0,0,0,0,0,0,1,1,191,0,0,0
1,11,1,1,6,20,0,0,97,97,0,0,0,0,1,1,243,0,0,0
1,12,1,1,3,15,0,1,0,0,0,0,0,0,1,1,205,0,0,0
1,13,1,1,6,25,0,0,0,0,0,0,0,0,0,1,85,0,0,116
1,14,1,1,6,25,0,0,0,0,0,0,0,0,0,1,87,0,0,115
1,15,0,1,10,20,0,0,0,0,0,0,0,0,0,1,91,0,0,2
1,16,1,0,12,5,0,0,0,0,0,8,0,0,1,1,171,0,0,0
1,17,1,1,5,20,0,1,0,0,0,0,0,0,0,1,267,0,0,59
1,18,1,1,50,0,0,0,0,0,16,0,0,0,0,1,7,0,0,0
1,19,1,1,50,0,0,0,0,0,16,0,0,0,0,1,9,0,0,0
1,20,1,1,50,500,0,0,0,0,16,0,0,0,0,1,11,0,0,0
1,21,1,1,50,0,0,0,0,0,-16,0,0,0,0,1,5,0,0,0
1,22,1,1,50,0,0,0,0,0,-16,0,0,0,0,1,3,0,0,0
1,23,1,1,50,500,0,0,0,0,-16,0,0,0,0,1,1,0,0,0
1,24,1,1,2,50,2,2,0,0,10,-20,0,0,0,1,269,0,0,62
1,25,1,1,2,50,-2,2,0,0,-10,-20,0,0,0,1,271,0,0,62
1,26,1,1,4,10,0,0,0,0,0,0,0,0,0,1,49,0,0,125
1,27,1,1,4,10,0,0,0,0,0,0,0,0,0,1,51,0,0,126
1,28,1,1,4,10,0,0,0,0,-12,0,-2,0,0,1,49,0,0,125
1,29,1,1,4,10,0,0,0,0,12,0,2,0,0,1,51,0,0,126
1,30,1,1,6,15,0,0,0,0,0,0,0,0,0,1,89,0,0,0
1,31,1,1,6,25,0,0,0,0,0,0,0,0,0,1,127,0,0,0
1,32,0,1,6,2,0,0,0,0,0,0,0,0,0,1,273,0,0,0
1,33,0,1,6,2,0,0,0,0,0,0,0,0,0,1,275,0,0,0
1,34,0,1,6,2,0,0,0,0,0,0,0,0,0,1,277,0,0,0
1,35,0,1,6,2,0,0,0,0,0,0,0,0,0,1,279,0,0,0
1,36,0,1,6,2,0,0,0,0,0,0,0,0,0,1,281,0,0,0
1,37,0,1,6,2,0,0,0,0,0,0,0,0,0,1,283,0,0,0
1,38,0,1,6,2,0,0,0,0,0,0,0,0,0,1,245,0,0,0
1,39,0,1,6,2,0,0,0,0,0,0,0,0,0,1,207,0,0,0
1,40,0,1,10,10,0,0,0,0,0,0,0,0,2,1,153,0,0,59
1,41,0,1,20,100,0,0,0,0,0,0,0,0,0,1,169,0,0,0
1,42,0,1,12,10,0,0,0,0,0,0,0,0,0,1,15,0,0,0
1,43,0,1,12,10,0,0,0,0,0,0,0,0,0,1,17,0,0,0
1,44,0,1,12,10,0,0,0,0,0,0,0,0,0,1,53,0,0,0
1,45,0,1,12,10,0,0,0,0,0,0,0,0,0,1,55,0,0,0
1,46,1,1,254,0,0,0,0,0,0,0,0,0,0,2,10,0,0,0
1,47,1,1,254,0,0,0,0,0,0,0,0,0,0,2,12,0,0,0
1,48,1,1,254,250,0,0,0,0,0,0,0,0,0,2,14,0,0,0
1,49,1,1,254,0,0,0,0,0,0,0,0,0,0,2,16,0,0,0
1,50,1,1,254,0,0,0,0,0,0,0,0,0,0,2,18,0,0,0
1,51,1,1,254,0,0,0,0,0,0,0,0,0,0,2,48,0,0,0
1,52,1,1,254,0,0,0,0,0,0,0,0,0,0,2,50,0,0,0
1,53,1,1,254,1,0,0,0,0,0,0,0,0,2,2,1,3,0,127
1,54,1,1,254,0,0,0,0,0,0,0,0,0,0,2,54,0,0,0
1,55,1,1,254,0,0,0,0,0,0,0,0,0,0,2,56,0,0,0
1,56,1,1,100,0,0,0,0,0,0,0,0,0,0,2,86,0,0,0
1,57,1,1,100,0,0,0,0,0,0,0,0,0,0,2,88,0,0,0
1,58,1,1,254,0,0,0,0,0,0,0,0,0,0,2,90,0,0,0
1,59,1,1,100,0,0,0,0,0,0,0,0,0,0,2,92,0,0,0
1,60,1,1,100,0,0,0,0,0,0,0,0,0,0,2,94,0,0,0
1,61,1,1,0,0,0,0,0,0,0,0,0,0,0,2,124,0,0,0
1,62,1,1,100,0,0,0,0,0,0,0,0,0,0,2,126,0,0,0
1,63,1,1,254,0,0,0,0,0,0,0,0,0,0,2,128,0,0,0
1,64,1,1,100,0,0,0,0,0,0,0,0,0,0,2,130,0,0,0
1,65,1,1,0,0,0,0,0,0,0,0,0,0,0,2,132,0,0,0
1,66,1,1,50,0,0,0,0,0,0,0,0,0,0,2,153,0,0,0
1,67,1,1,50,0,0,0,0,0,0,0,0,0,0,2,155,0,0,0
1,68,1,1,50,0,0,0,0,0,0,0,0,0,0,2,157,0,0,0
1,69,1,1,50,0,0,0,0,0,0,0,0,0,0,2,159,0,0,0
1,70,1,1,50,0,0,0,0,0,0,0,0,0,0,2,191,0,0,0
1,71,1,1,50,0,0,0,0,0,0,0,0,0,0,2,193,0,0,0
1,72,1,1,50,1000,0,0,0,0,0,0,0,0,0,2,195,0,0,0
1,73,1,1,50,0,0,0,0,0,0,0,0,0,0,2,231,0,0,0
1,74,1,1,50,0,0,0,0,0,0,0,0,0,0,2,233,0,0,0
1,75,1,1,50,0,0,0,0,0,0,0,0,0,0,2,235,0,0,0
1,76,1,1,50,0,0,0,0,0,0,0,0,0,0,2,267,0,0,0
1,77,1,1,50,0,0,0,0,0,0,0,0,0,0,2,269,0,0,0
1,78,1,1,50,0,0,0,0,0,0,0,0,0,0,2,271,0,0,0
1,79,1,1,50,1000,0,0,0,0,0,0,0,0,0,2,273,0,0,0
1,80,0,1,20,0,0,0,0,0,0,0,0,0,2,3,39,0,0,0
1,81,0,1,20,0,0,0,0,0,0,0,0,0,2,3,41,0,0,0
1,82,0,1,20,0,0,0,0,0,0,0,0,0,2,3,1,0,0,0
1,83,0,1,20,0,0,0,0,0,0,0,0,0,2,3,3,0,0,0
1,84,0,1,14,0,0,0,0,0,0,0,0,0,2,3,55,0,0,59
1,85,0,1,14,0,0,0,0,0,0,0,0,0,2,3,169,0,0,0
1,86,0,1,14,0,0,0,0,0,0,0,0,0,2,3,207,463,0,0
1,87,0,1,20,0,0,0,0,0,0,0,0,0,0,3,199,0,0,0
1,88,0,1,20,0,0,0,0,0,0,0,0,0,0,3,201,0,0,0
1,89,0,1,20,0,0,0,0,0,0,0,0,0,0,3,161,0,0,0
1,90,0,1,20,0,0,0,0,0,0,0,0,0,0,3,163,0,0,0
1,91,1,1,10,0,4,0,0,0,0,0,0,0,0,4,125,454,502,0
1,92,1,1,254,0,4,0,0,0,0,0,0,0,0,4,127,0,0,0
1,93,1,0,3,0,0,1,0,0,-4,0,-6,0,1,4,19,0,0,0
1,94,1,0,3,0,0,2,0,0,-6,0,0,0,1,4,19,0,0,0
1,95,1,0,3,0,0,3,0,0,-12,0,0,0,1,4,19,0,0,0
1,96,1,0,3,0,0,4,0,0,0,0,0,0,1,4,19,0,0,0
1,97,1,0,3,0,0,3,0,0,12,0,0,0,1,4,19,0,0,0
1,98,1,0,3,0,0,2,0,0,6,0,0,0,1,4,19,0,0,0
1,99,1,0,3,0,0,1,0,0,4,0,6,0,1,4,19,0,0,0
1,100,1,1,10,0,0,1,0,0,0,0,0,0,1,4,153,454,0,0
1,101,1,1,254,0,0,1,0,0,0,0,0,0,1,4,191,0,0,0
1,102,1,1,6,0,0,6,0,0,1,-10,4,0,1,4,267,0,0,0
1,103,1,1,6,0,0,6,0,0,-1,-10,-4,0,1,4,267,0,0,0
1,104,1,1,12,0,0,1,0,0,0,0,0,0,1,4,1,0,508,63
1,105,1,0,3,0,0,1,0,0,-3,0,-8,0,1,4,19,0,0,0
1,106,1,1,200,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0
1,107,1,1,200,0,0,0,0,0,0,0,0,0,0,4,45,0,0,0
1,108,1,1,20,0,0,-8,0,0,4,10,0,0,1,4,115,0,0,0
1,109,1,1,60,0,0,0,0,0,0,0,0,0,1,4,277,0,0,0
1,110,1,1,60,0,0,0,0,0,0,0,0,0,0,4,203,0,0,0
1,111,1,1,0,0,0,0,0,0,0,0,0,0,0,4,241,0,0,0
1,112,1,1,254,0,0,0,0,0,0,0,0,0,0,4,167,0,0,0
1,113,1,1,254,0,0,0,0,0,0,0,0,0,0,4,205,0,0,0
1,114,1,1,0,0,0,0,0,0,0,0,0,0,0,4,243,0,0,0
1,115,1,1,254,0,0,0,0,0,0,0,0,0,0,4,169,0,0,0
1,116,1,1,254,0,0,0,0,0,0,0,0,0,0,4,207,0,0,0
1,117,1,1,0,0,0,0,0,0,0,0,0,0,0,4,245,0,0,0
1,118,1,1,254,0,0,0,0,0,0,0,0,0,0,4,161,0,0,0
1,119,1,1,254,0,0,0,0,0,0,0,0,0,0,4,199,0,0,0
1,120,1,1,0,0,0,0,0,0,0,0,0,0,0,4,237,0,0,0
1,121,0,1,10,5,0,0,0,0,0,0,0,0,0,1,115,0,0,0
1,122,0,1,10,5,0,0,0,0,0,0,0,0,0,1,117,0,0,0
1,123,0,1,10,5,0,0,0,0,0,0,0,0,0,1,77,0,0,0
1,124,0,1,10,5,0,0,0,0,0,0,0,0,0,1,79,0,0,0
1,125,0,1,10,5,0,0,0,0,0,0,0,0,0,1,119,0,0,0
1,126,0,1,10,5,0,0,0,0,0,0,0,0,0,1,121,0,0,0
1,127,0,1,10,5,0,0,0,0,0,0,0,0,0,1,81,0,0,0
1,128,0,1,10,5,0,0,0,0,0,0,0,0,0,1,83,0,0,0
1,129,1,1,25,0,0,1,0,0,0,0,0,0,1,3,51,0,0,134
1,130,1,1,15,0,0,1,0,0,0,0,0,0,1,3,53,0,0,0
1,131,1,1,15,0,0,1,0,0,0,0,0,0,1,3,53,0,0,140
1,132,1,0,5,0,0,1,0,0,0,0,0,0,0,3,152,0,0,0
1,133,1,1,10,0,0,4,0,0,0,0,0,6,1,3,13,0,0,141
1,134,1,1,8,0,0,-5,0,0,0,0,0,0,1,3,237,0,0,135
1,135,1,1,3,0,0,1,0,0,0,0,0,0,0,8,5,0,0,0
1,136,1,1,3,0,0,2,0,0,0,0,0,0,0,8,5,0,0,0
1,137,1,1,3,0,0,3,0,0,0,0,0,0,0,8,5,0,0,0
1,138,1,1,10,0,0,0,0,0,0,0,0,0,0,8,39,0,0,0
1,139,1,1,10,0,0,0,0,0,0,0,0,0,0,8,41,0,0,0
1,140,1,1,10,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0
1,141,1,1,10,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0
1,142,0,1,10,25,0,0,0,0,0,0,0,0,2,7,1,0,0,63
1,143,0,1,15,100,0,0,0,0,0,0,0,0,2,7,39,0,0,144
1,144,1,0,2,5,0,0,0,0,0,0,0,0,2,7,38,0,0,142
1,145,0,1,18,50,0,0,0,0,0,0,0,0,0,7,245,0,0,0
1,146,0,1,18,0,0,0,0,0,0,0,0,0,0,7,283,0,0,0
1,147,1,1,10,25,0,0,0,0,0,0,0,0,1,11,1,0,0,0
1,148,1,1,3,50,2,0,0,0,0,0,0,0,1,11,77,0,0,0
1,149,1,1,254,25,0,0,0,0,0,0,0,0,0,10,1,0,0,0
1,150,1,1,254,25,0,0,0,0,0,0,0,0,0,10,3,0,0,0
1,151,1,1,254,25,0,0,0,0,0,0,0,0,0,10,5,0,0,0
1,152,1,1,254,25,0,0,0,0,0,0,0,0,0,10,7,0,0,0
1,153,0,1,14,50,0,0,0,0,0,0,0,0,2,12,39,0,0,59
1,154,0,1,20,50,0,0,0,0,0,0,0,0,0,12,119,0,0,0
1,155,0,1,20,0,0,0,0,0,0,0,0,0,0,12,121,0,0,0
1,156,0,1,20,0,0,0,0,0,0,0,0,0,0,12,81,0,0,0
1,157,0,1,20,0,0,0,0,0,0,0,0,0,0,12,83,0,0,0
1,158,0,1,20,50,0,0,0,0,0,0,0,0,2,12,43,0,0,0
1,159,0,1,20,0,0,0,0,0,0,0,0,0,2,12,45,0,0,0
1,160,0,1,20,0,0,0,0,0,0,0,0,0,2,12,5,0,0,116
1,161,0,1,20,0,0,0,0,0,0,0,0,0,2,12,7,0,0,0
1,162,0,1,15,25,0,0,0,0,0,0,0,0,2,10,39,0,0,59
1,163,1,1,3,20,0,0,0,0,0,0,0,0,0,10,125,0,0,92
1,164,1,1,4,25,0,0,0,0,0,0,0,0,0,10,11,0,0,8
1,165,1,1,6,40,0,0,0,0,0,0,0,0,0,10,49,0,0,12
1,166,1,1,8,50,0,0,0,0,0,0,0,0,0,10,87,0,0,8
1,167,1,1,10,75,0,0,0,0,0,0,0,0,0,10,3,0,0,100
1,168,1,1,12,50,0,0,0,0,0,0,0,0,0,10,55,0,0,16
1,169,1,1,14,80,0,0,0,0,0,0,0,0,0,10,79,0,0,98
1,170,1,1,15,100,0,0,0,0,0,0,0,0,0,10,53,0,0,100
1,171,0,1,20,75,0,0,0,0,0,0,0,0,2,10,43,0,0,0
1,172,0,1,20,75,0,0,0,0,0,0,0,0,2,10,81,0,0,0
1,173,0,1,20,75,0,0,0,0,0,0,0,0,2,10,119,0,0,24
1,174,1,1,80,0,0,0,0,0,4,0,4,0,0,18,125,0,0,0
1,175,1,1,80,0,0,0,0,0,4,0,4,0,0,18,15,0,0,0
1,176,1,1,80,0,0,0,0,0,4,0,4,0,0,18,13,0,0,0
1,177,1,1,80,0,0,0,0,0,-4,0,-4,0,0,18,125,0,0,0
1,178,1,1,80,0,0,0,0,0,-4,0,-4,0,0,18,15,0,0,0
1,179,1,1,80,0,0,0,0,0,-4,0,-4,0,0,18,13,0,0,0
1,180,1,1,120,250,0,0,0,0,4,0,4,0,1,18,163,0,0,0
1,181,1,1,120,0,0,0,0,0,4,0,4,0,1,18,201,0,0,0
1,182,1,1,120,250,0,0,0,0,-4,0,-4,0,1,18,11,0,0,0
1,183,1,1,120,0,0,0,0,0,-4,0,-4,0,1,18,49,0,0,0
1,184,1,1,15,0,0,0,0,0,0,2,0,4,2,11,121,0,0,116
1,185,1,1,40,25,0,0,0,0,0,0,0,0,1,11,1,0,0,0
1,186,1,1,10,25,3,0,0,0,0,0,0,0,2,11,77,0,0,116
1,187,1,1,10,25,-3,0,0,0,0,0,0,0,2,11,77,0,0,116
1,188,1,1,10,25,-3,0,0,0,0,0,0,0,2,11,77,0,0,116
